Price,Close,High,Low,Open,Volume
Ticker,^DJI,^DJI,^DJI,^DJI,^DJI
Datetime,,,,,
2025-05-08 14:28:00+0000,41330.75,41337.859375,41319.98046875,41332.55078125,853033
2025-05-08 14:29:00+0000,41334.390625,41335.2890625,41327.48046875,41330.96875,868652
2025-05-08 14:30:00+0000,41340.62890625,41344.19921875,41333.23828125,41335.9296875,1069708
2025-05-08 14:31:00+0000,41343.5,41346.69921875,41338.8203125,41340.80859375,1092260
2025-05-08 14:32:00+0000,41372.26171875,41377.9609375,41342.62109375,41342.62109375,976587
2025-05-08 14:33:00+0000,41392.19921875,41392.19921875,41372.46875,41372.46875,818236
2025-05-08 14:34:00+0000,41368.23046875,41395.98046875,41368.23046875,41391.69140625,1114850
2025-05-08 14:35:00+0000,41360.19921875,41374.9609375,41360.19921875,41365.44140625,1437019
2025-05-08 14:36:00+0000,41335.171875,41360.05859375,41332.12109375,41359.609375,1311585
2025-05-08 14:37:00+0000,41314.05078125,41334.8515625,41298.2109375,41334.8515625,1253310
2025-05-08 14:38:00+0000,41312.05078125,41315.76953125,41304.890625,41314.078125,780175
2025-05-08 14:39:00+0000,41294.48046875,41315.0390625,41294.48046875,41312.75,810815
2025-05-08 14:40:00+0000,41301.55078125,41301.55078125,41278.37890625,41294.2890625,1223137
2025-05-08 14:41:00+0000,41305.73046875,41312.23046875,41301.078125,41301.078125,1104083
2025-05-08 14:42:00+0000,41300.421875,41305.37109375,41292.359375,41305.30078125,1055126
2025-05-08 14:43:00+0000,41296.609375,41307.53125,41296.609375,41300.6015625,851920
2025-05-08 14:44:00+0000,41310.69921875,41310.69921875,41279.6484375,41297.0,1418790
2025-05-08 14:45:00+0000,41298.5390625,41313.5703125,41298.16015625,41310.03125,1324908
2025-05-08 14:46:00+0000,41286.359375,41297.94140625,41284.62109375,41297.94140625,821093
2025-05-08 14:47:00+0000,41277.3984375,41290.62890625,41276.6015625,41286.2890625,1054327
2025-05-08 14:48:00+0000,41284.890625,41288.55859375,41268.96875,41277.23828125,844714
2025-05-08 14:49:00+0000,41272.1015625,41283.8984375,41261.890625,41283.8984375,909955
2025-05-08 14:50:00+0000,41282.3515625,41282.66015625,41263.01953125,41271.69140625,867900
2025-05-08 14:51:00+0000,41305.1015625,41306.26953125,41280.98046875,41282.3515625,869377
2025-05-08 14:52:00+0000,41317.6796875,41321.3984375,41305.6484375,41305.6484375,951612
2025-05-08 14:53:00+0000,41241.41015625,41323.83984375,41241.19140625,41317.9609375,1288916
2025-05-08 14:54:00+0000,41215.4296875,41245.16015625,41196.19140625,41245.16015625,1833378
2025-05-08 14:55:00+0000,41172.58984375,41216.7109375,41167.98828125,41215.578125,1791802
2025-05-08 14:56:00+0000,41206.55859375,41223.05078125,41167.76171875,41173.23828125,1196054
2025-05-08 14:57:00+0000,41231.75,41240.48828125,41203.0390625,41206.8515625,929189
2025-05-08 14:58:00+0000,41240.5,41242.6484375,41232.1015625,41232.2109375,937715
2025-05-08 14:59:00+0000,41221.01171875,41250.5390625,41200.51953125,41239.98046875,1222184
2025-05-08 15:00:00+0000,41239.390625,41239.390625,41197.359375,41221.8984375,1096750
2025-05-08 15:01:00+0000,41239.859375,41244.03125,41232.921875,41234.98828125,698398
2025-05-08 15:02:00+0000,41221.66015625,41246.0390625,41215.73828125,41240.78125,847070
2025-05-08 15:03:00+0000,41220.30078125,41227.9609375,41211.609375,41223.75,997201
2025-05-08 15:04:00+0000,41211.12109375,41219.4296875,41205.62109375,41219.4296875,795534
2025-05-08 15:05:00+0000,41254.73828125,41255.2109375,41208.76953125,41211.5,1516604
2025-05-08 15:06:00+0000,41275.359375,41280.078125,41254.78125,41254.78125,1592549
2025-05-08 15:07:00+0000,41291.7109375,41293.12109375,41267.73828125,41274.19921875,1357269
2025-05-08 15:08:00+0000,41302.7109375,41303.66015625,41291.76171875,41292.5703125,1119796
2025-05-08 15:09:00+0000,41302.01171875,41307.69921875,41299.44921875,41302.58984375,967115
2025-05-08 15:10:00+0000,41312.23828125,41314.1796875,41298.8515625,41299.78125,1147117
2025-05-08 15:11:00+0000,41307.640625,41314.53125,41306.140625,41312.12890625,900153
2025-05-08 15:12:00+0000,41296.78125,41311.75,41295.109375,41307.8203125,829292
2025-05-08 15:13:00+0000,41317.0703125,41317.0703125,41295.48046875,41296.19140625,703870
2025-05-08 15:14:00+0000,41328.87890625,41334.98828125,41317.05078125,41317.05078125,1117102
2025-05-08 15:15:00+0000,41334.9296875,41345.73828125,41328.859375,41331.98828125,840467
2025-05-08 15:16:00+0000,41339.48046875,41339.48046875,41330.87890625,41334.37890625,848800
2025-05-08 15:17:00+0000,41349.578125,41351.66015625,41339.2109375,41340.7890625,740440
2025-05-08 15:18:00+0000,41364.28125,41364.28125,41343.41015625,41349.62109375,869013
2025-05-08 15:19:00+0000,41362.05859375,41364.87890625,41359.3203125,41363.9296875,1690484
2025-05-08 15:20:00+0000,41399.12890625,41409.19140625,41361.94140625,41362.171875,1832710
2025-05-08 15:21:00+0000,41402.96875,41410.87890625,41380.25,41410.44921875,1721035
2025-05-08 15:22:00+0000,41423.46875,41429.62109375,41402.87890625,41402.9296875,1162059
2025-05-08 15:23:00+0000,41450.96875,41452.3203125,41423.80078125,41424.44140625,1108545
2025-05-08 15:24:00+0000,41472.171875,41473.30859375,41445.671875,41451.87109375,1367532
2025-05-08 15:25:00+0000,41496.83984375,41496.83984375,41472.671875,41473.0,1470617
2025-05-08 15:26:00+0000,41505.51171875,41514.80078125,41499.71875,41499.71875,1128674
2025-05-08 15:27:00+0000,41501.578125,41509.53125,41499.640625,41505.8203125,941870
2025-05-08 15:28:00+0000,41528.03125,41528.23828125,41500.44921875,41500.859375,1590487
2025-05-08 15:29:00+0000,41489.5703125,41547.69140625,41489.5703125,41527.921875,2714020
2025-05-08 15:30:00+0000,41470.609375,41492.3984375,41451.62890625,41492.3984375,1650080
2025-05-08 15:31:00+0000,41464.6484375,41493.1015625,41464.6484375,41470.69921875,1248547
2025-05-08 15:32:00+0000,41501.37109375,41511.26953125,41463.98828125,41463.98828125,1290901
2025-05-08 15:33:00+0000,41502.19921875,41514.9296875,41499.578125,41500.5703125,864854
2025-05-08 15:34:00+0000,41513.078125,41514.46875,41499.5390625,41502.140625,898455
2025-05-08 15:35:00+0000,41516.12109375,41527.19921875,41512.41015625,41512.41015625,988222
2025-05-08 15:36:00+0000,41519.26171875,41529.33984375,41516.0390625,41516.078125,914121
